Query Number,SQL Query
Query 74,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND CAREATE_DATE = (
SELECT 
MAX(CAREATE_DATE)
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
);"
Query 75,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND STATUS = 'APPROVED'
AND PERRIOD = (
SELECT 
MAX(PERRIOD)
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND STATUS = 'APPROVED'
);"
Query 76,SELECT * FROM TBL_CONTRACT_CONDITION WHERE GROUP_CONTRACT_CONDITION = 'PERIODIC' and STATUS = 'APPROVED' and CONTRACT_CONDITION_TYPE = (NULL or DKNQ) and CONTRACT_ID = :refId  ( refId = contract.REF_ID);
Query 77,SELECT * FROM TBL_CONTRACT_CONDITION WHERE GROUP_CONTRACT_CONDITION = 'PERIODIC' and STATUS = 'APPROVED' and CONTRACT_CONDITION_TYPE = DKSP and CONTRACT_ID = :refId  ( refId = contract.REF_ID);
Query 78,"SELECT 
*
FROM
tbl_periodic_test_frequency
WHERE
CUSTOMER_TYPE = : custType"
Query 79,"UPDATE dữ liệu 2 trường hợp trên vào bảng TBL_PERIOD_EVALUATION
Đồng thời update bảng STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE :
UPDATE 
STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
SET
cps_tsktdk = 'Y' WHRER CUSTOMER_ID = : customerId
AND CO_CODE = : coCode"
Query 80,"SELECT 
pe.*,
CASE WHEN pe.group_contract_condition = 'LOAN_PRODUCT_CONDITION' THEN lp.sanction WHEN pe.group_contract_condition = 'REVENUE' THEN rc.sanction ELSE cd.sanction END as sanction,
CASE WHEN pe.group_contract_condition = 'LOAN_PRODUCT_CONDITION' THEN 'OTHER' WHEN pe.group_contract_condition = 'REVENUE' THEN rc.sanctionType ELSE cd.sanctionType END as sanctionType,
CASE WHEN pe.group_contract_condition = 'LOAN_PRODUCT_CONDITION' THEN pe.LOAN_PRODUCT_CODE || pe.CONTRACT_ID WHEN pe.group_contract_condition = 'REVENUE'
AND rc.origin_id is not null THEN rc.origin_id WHEN pe.group_contract_condition = 'REVENUE'
AND rc.origin_id is null THEN rc.ID WHEN cd.origin_id is not null THEN cd.origin_id ELSE cd.ID END as conditionId,
from
TBL_PERIOD_EVALUATION pe
left join TBL_LOAN_PRODUCT_CONDITION lp on lp.CODE = pe.LOAN_PRODUCT_CODE
AND pe.group_contract_condition = 'LOAN_PRODUCT_CONDITION'
left join TBL_REVENUE_CONDITION rc on rc.ID = pe.contract_condition_id
AND pe.group_contract_condition = 'REVENUE'
left join TBL_CONTRACT_CONDITION cd on cd.ID = pe.contract_condition_id
AND pe.group_contract_condition not in (
'REVENUE', 'LOAN_PRODUCT_CONDITION'
)
where
pe.GROUP_CONTRACT_CONDITION <> 'SECUR_PROP_INSURANCE'
and pe.EVALUATION_RESULT is not null
and (
(
pe.CONTRACT_CONDITION_ID is not null
and pe.GROUP_CONTRACT_CONDITION <> 'LOAN_PRODUCT_CONDITION'
)
or (
lp.SANCTION is not null
and pe.GROUP_CONTRACT_CONDITION = 'LOAN_PRODUCT_CONDITION'
)
)
and (
pe.CONTRACT_CONDITION_STATUS is null
or pe.CONTRACT_CONDITION_STATUS not in ('STOP_FOLLOW', 'OVERDUE_1')
)
and (
pe.STATUS is null
or pe.STATUS not in ('STOP_FOLLOW', 'OVERDUE_1')
)
and pe.EVALUATION_DATE < to_date(sysdate, 'DD-MM-YYYY')"
Query 81,"UPDATE TBL_PERIOD_EVALUATION Set period.report_note = 'Điều kiện nghị quyết không có áp chế tài' WHERE ID= period.ID; Đồng thời ko xử lý bước tiếp theo.
applySanctionReports  : Biến lưu list dữ liệu áp chế tài ( kiểu dữ liệu lấy theo bảng tbl_apply_sanction_report ). Mỗi khi xử lý 1 row dữ sẽ add them dữ liệu vào List này để tạo mới dữ liệu chế tài."
Query 82,"SELECT 
*
FROM
tbl_apply_sanction_report
WHERE
condition_id = peroid.condition_id
AND status_report = 'ACTIVE'
ORDER BY
create_user
limit
1"
Query 83,"SELECT 
*
FROM
applySanctionReports
WHERE
condition_id = peroid.condition_id
AND status_report = 'ACTIVE'
ORDER BY
create_user
limit
1"
Query 84,"SELECT 
*
FROM
stg_seaops.tbl_bi_contract_ref_define
WHERE
ref_id = period.contract_id"
Query 85,"SELECT 
*
FROM
stg_seaops.tbl_bi_contract_debt
WHERE
contract_ref = period.contract_id
AND DEBT > 0
AND (
period.group_contract_condition <> 'MDSDV'
OR upper(CONTRACT) = upper (period.loan_code)
AND DAYID = (
SELECT 
MAX(DAYID)
FROM
stg_seaops.tbl_bi_contract_debt
WHERE
contract_ref = period.contract_id
AND DEBT > 0
)"
Query 86,"SELECT 
*
FROM
KSSCT.ad_unit
WHERE
unit_code = period.CO_CODE
Xác định rule tính tháng áp chế tài"
Query 87,"SELECT 
*
FROM
tbl_apply_sanction_report
WHERE
condition_id = peroid.condition_id  AND rating_status = peroid.evaluation_result
AND status_report = 'ACTIVE'
limit
1"
Query 88,DELETE'  ELSE  'SUCCESS'  END;
Query 89,DELETE' AND processStatus <> 'SUCCESS'  THEN processSuccess ELSE  'Áp dụng với trạng thái ACTIVE' END.
Query 90,"UPDATE TBL_PERIOD_EVALUATION Set period.report_note = : reportNote  WHERE ID= period.ID
B4 : Tạo các bản ghi báo cáo áp chế tài"
Query 91,"SELECT 
*
from
TBL_PERIOD_EVALUATION pe
where
pe.GROUP_CONTRACT_CONDITION = 'SECUR_PROP_INSURANCE'
and pe.EVALUATION_RESULT is not null
and (
pe.STATUS is null
or pe.STATUS <> 'STOP_FOLLOW'
)
and (
pe.REPORT_BATCH_ID is null
or pe.REPORT_BATCH_ID = 'RE_CHECK'
)"
Query 92,"UPDATE 
TBL_PERIOD_EVALUATION
SET
REPORT_BATCH_ID = 'SUCCESS'
WHERE
ID = period.ID"
Query 93,"SELECT * FROM TBL_BI_COLLATERAL WHERE collateral_id = period.collateral_id
UPDATE 
TBL_PERIOD_EVALUATION
SET
REPORT_NOTE = 'Không có dữ liệu tài sản bảo đảm',
REPORT_BATCH_ID = 'STOP_CHECK_REPORT'
WHERE
ID = period.ID"
Query 94,"SELECT * FROM STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
WHERE REF_ID IN (: contractRefs ).
UPDATE 
TBL_PERIOD_EVALUATION
SET
REPORT_NOTE = 'Không có dữ liệu hợp đồng giải ngân',
REPORT_BATCH_ID = 'STOP_CHECK_REPORT'
WHERE
ID = period.ID"
Query 95,"SELECT 
*
FROM
tbl_insurance_sanction
WHERE
COLLATERAL_TYPES = period.COLLATERAL_TYPES
AND LOAN_TYPE = contractRefDefine.LOAN_PRODUCT_ID
AND STATUS = 'ACTIVE'"
Query 96,"UPDATE 
TBL_PERIOD_EVALUATION
SET
REPORT_NOTE = 'Không có chế tài bảo hiểm tài sản bảo đảm',
REPORT_BATCH_ID = 'STOP_CHECK_REPORT'
WHERE
ID = period.ID"
Query 97,"SELECT 
*
FROM
tbl_apply_sanction_report
WHERE
collateral_id = peroid.collateral_id
AND CONTRACT_REF = refId
AND status_report = 'ACTIVE'
ORDER BY DESC
create_user
limit
1"
Query 98,"SELECT 
*
FROM
applySanctionReports
WHERE
collateral_id = peroid.collateral_id
AND CONTRACT_REF = refId
AND status_report = 'ACTIVE'
ORDER BY DESC
create_user
limit
1"
Query 99,"SELECT * FROM STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
WHERE REF_ID = refId;"
Query 100,SELECT * FROM insuranceSanctions WHERE START_DATE >= monthValue AND (END_DATE is null OR (END_DATE > monthValue ) ) AND INTEREST_ADJUST = interestAdjustEnum AND REPORT_DATE = reportDateType;
Query 101,"SELECT 
*
FROM
stg_seaops.tbl_bi_contract_debt
WHERE
CONTRACT_REF = refID
AND DEBT > 0
AND DAYID = (
SELECT 
MAX(DAYID)
FROM
stg_seaops.tbl_bi_contract_debt
WHERE
CONTRACT_REF = refID
AND DEBT > 0
)"
Query 102,"SELECT 
*
FROM
KSSCT.ad_unit
WHERE
unit_code = period.CO_CODE"
Query 103,"DELETE"") ngược lại  result.put(ref, ""Áp dụng chế tài với trạng thái ACTIVE"")"
Query 104,
Query 105,
Query 106,"UPDATE TBL_PERIOD_EVALUATION SET period.report_note = : reportNote, CHECK_PERIOD_REPORT = : checkPeriodReport ,REPORT_BATCH_ID = : reportBatchId  WHERE ID= period.ID;"
Query 107,"SELECT * FROM KSSCT.ad_unit
WHERE STATUS = 'ACTIVE' GROUP BY unit_code
p_co_code = adUnit.UNIT_CODE
p_area_code = adUnit.AREA_CODE
Lấy tổng số bản ghi kỳ đánh giá"
Query 108,"SELECT COUNT(*)
from TBL_PERIOD_EVALUATION
where CO_CODE = :p_co_code
and cast(EVALUATION_DATE as date) >= to_date(:p_from_date, 'YYYY-MM-DD HH24:MI:SS')
and cast(EVALUATION_DATE as date) < to_date(:p_to_date, 'YYYY-MM-DD HH24:MI:SS')
and (STATUS is null or STATUS <> 'STOP_FOLLOW')
Lấy tổng só bản ghi đánh giá tuân thủ
SELECT COUNT(*)
from TBL_PERIOD_EVALUATION
where CO_CODE = :p_co_code
and cast(EVALUATION_DATE as date) >= to_date(:p_from_date, 'YYYY-MM-DD HH24:MI:SS')
and cast(EVALUATION_DATE as date) < to_date(:p_to_date, 'YYYY-MM-DD HH24:MI:SS')
and (STATUS is null or STATUS <> 'STOP_FOLLOW')
and evaluation_result = 'FOLLOW'"
Query 109,"SELECT *
from TBL_KPI_REPORT
where CO_CODE = :p_co_code
and (MONTH_YEAR = (EXTRACT(YEAR FROM SYSDATE) -1 || '-12-01'))"
Query 110,"SELECT * FORM TBL_KPI_REPORT  WHERE CO_CODE = :p_co_code
AND ( MONTH_YEAR = EXTRACT(YEAR FROM SYSDATE) || '-' ||(CASE WHEN (EXTRACT(MONTH FROM SYSDATE) -2) < 10 THEN '0' || TO_CHAR(EXTRACT(MONTH FROM SYSDATE) -2)  ELSE TO_CHAR(EXTRACT(MONTH FROM SYSDATE) -2) END ) || '-01'  );"
Query 111,"SELECT SUM (MONTH_POINT) FROM TBL_KPI_REPORT WHERE CO_CODE = :p_co_code  AND EXTRACT(YEAR FROM SYSDATE) = EXTRACT(YEAR FROM to_date(MONTH_YEAR,'YYYY-MM-DD')) GROUP BY CO_CODE   )
Số tháng đã được tính KPI
SELECT EXTRACT(MONTH FROM SYSDATE) -2) FROM DUAL;"
Query 112,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_OTHER_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_OTHER_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_OTHER_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
Query 113,"SELECT 
*
FROM
TBL_CONTRACT_CONDITION
WHERE
GROUP_CONTRACT_CONDITION = 'OTHER'
GROUP_CONDITION_TYPE = 'ĐKSP'
AND STATUS = 'APPROVED'
AND CONTRACT_ID = ref_id
B2 : Dựa vào thông tin của condition bước 1
- Nếu condition.METHOD_OF_PERIOD = METHOD_PERIOD_F1:
Kiểm tra đã có hạng mục sinh ra bởi Điều kiện và Hợp đồng. Nếu đã có rồi thì không sinh hạng mục nữa."
Query 114,SELECT * FROM TBL_PERIOD_EVALUATION WHERE CONTRACT_CONDITION_ID = condition.ID AND CONTRACT_ID = ref_id;
Query 115,"SELECT min(VALUE_DATE) min_value_date FROM (
SELECT VALUE_DATE VALUE_DATE
FROM
STG_SEAOPS.TBL_BI_DISBURSEMENT_HISTORY DH
WHERE DH.CONTRACT_REF = ref_id AND DH.PRODUCT_CODE = product_code
UNION ALL
SELECT ISSUE_DATE VALUE_DATE
FROM
STG_SEAOPS.TBL_BI_LC_RELEASE_SALES LC
WHERE LC.CONTRACT_REF = ref_id AND LC.PRODUCT_CODE = product_code
UNION ALL
SELECT PAST_SCHED_DATE VALUE_DATE
FROM
STG_SEAOPS.TBL_BI_GUARANTEE_SALES GS
WHERE GS.CONTRACT_REF = ref_id AND GS.PRODUCT_CODE = product_code
);"
Query 116,"SELECT * FROM TBL_PERIOD_EVALUATION WHERE CONTRACT_CONDITION_ID = condition.ID
AND CONTRACT_ID = ref_id
AND LOAN_PRODUCT_ID = product_code;"
Query 117,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_CROSS_SELLING_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_CROSS_SELLING_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_CROSS_SELLING_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
Query 118,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_ CREDIT_RELATION_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_CREDIT_RELATION_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_CREDIT_RELATION_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'OTHER'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
Query 119,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_FINANCIAL_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'FINANCIAL'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_FINANCIAL_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'FINANCIAL'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_FINANCIAL_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'FINANCIAL'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
Query 120,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LAW_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LAW'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LAW_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LAW'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LAW_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LAW'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
Query 121,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LIFE_INSURANCE_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LIFE_INSURANCE'
and CD.GROUP_CONDITION_TYPE = ‘ĐKSP’
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LIFE_INSURANCE_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LIFE_INSURANCE'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP'
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
JOIN TBL_CONTRACT_CONDITION_BIPLUS CD
ON DH.CONTRACT_REF = CD.CONTRACT_ID
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_LIFE_INSURANCE_PERIOD_STATUS = null
and CD.GROUP_CONTRACT_CONDITION = 'LIFE_INSURANCE'
and CD.GROUP_CONDITION_TYPE = 'ĐKSP';"
